x,y,z,yaw,velocity,change_flag
-15050.4,-84827.2,41.7015,-2.42906,40.0000,0
-15052.9,-84829.9,41.4094,-2.43073,40.0000,0
-15055.1,-84832.6,41.2234,-2.43071,40.0000,0
-15057.5,-84835.3,41.0508,-2.43134,40.0000,0
-15060,-84838.1,40.9096,-2.42998,40.0000,0
-15062.5,-84841,40.908,-2.42584,40.0000,0
-15064.9,-84843.8,40.5731,-2.42513,40.0000,0
-15067.1,-84846.5,40.3721,-2.42233,40.0000,0
-15069.4,-84849.2,40.1921,-2.41895,40.0000,0
-15071.9,-84852.1,40.0363,-2.40916,40.0000,0
-15074.2,-84855,40.0042,-2.39955,40.0000,0
-15076.6,-84857.9,39.6474,-2.38832,40.0000,0
-15078.6,-84860.7,39.4659,-2.36807,40.0000,0
-15080.7,-84863.5,39.2972,-2.35567,40.0000,0
-15082.9,-84866.5,39.0824,-2.35301,40.0000,0
-15084.9,-84869.2,39.0093,-2.35486,40.0000,0
-15087.2,-84872.2,38.7555,-2.36373,40.0000,0
-15089.3,-84874.9,38.625,-2.37286,40.0000,0
-15091.4,-84877.6,38.4914,-2.37945,40.0000,0
-15093.5,-84880.2,38.354,-2.38944,40.0000,0
-15095.4,-84882.6,38.366,-2.39617,40.0000,0
-15097.6,-84885.2,38.1485,-2.39976,40.0000,0
-15099.5,-84887.6,38.0779,-2.40537,40.0000,0
-15101.5,-84889.9,37.9872,-2.40639,40.0000,0
-15103.5,-84892.2,37.8773,-2.41012,40.0000,0
-15105.2,-84894.3,37.8535,-2.41006,40.0000,0
-15107.3,-84896.6,37.7057,-2.40945,40.0000,0
-15109,-84898.6,37.6367,-2.40905,40.0000,0
-15110.7,-84900.6,37.5202,-2.40609,40.0000,0
-15112.5,-84902.6,37.3998,-2.40381,40.0000,0
-15113.9,-84904.3,37.3107,-2.40344,40.0000,0
-15115.6,-84906.2,37.174,-2.40233,40.0000,0
-15117,-84907.9,37.0438,-2.39968,40.0000,0
-15118.6,-84909.6,36.9632,-2.39768,40.0000,0
-15120.3,-84911.6,36.9482,-2.39713,40.0000,0
-15122,-84913.5,36.9164,-2.39633,40.0000,0
-15123.8,-84915.5,36.9172,-2.39624,40.0000,0
-15125.5,-84917.5,36.8881,-2.3938,40.0000,0
-15127.3,-84919.6,36.8664,-2.39231,40.0000,0
-15129.2,-84921.7,36.86,-2.3926,40.0000,0
-15131,-84923.9,36.8143,-2.39108,40.0000,0
-15132.8,-84926.1,36.802,-2.38771,40.0000,0
-15134.8,-84928.3,36.7526,-2.39027,40.0000,0
-15136.7,-84930.6,36.7329,-2.39151,40.0000,0
-15138.7,-84932.9,36.6829,-2.39229,40.0000,0
-15140.8,-84935.3,36.5941,-2.38887,40.0000,0
-15142.9,-84937.7,36.5546,-2.38834,40.0000,0
-15145,-84940.2,36.4946,-2.38627,40.0000,0
-15147.1,-84942.6,36.4296,-2.38285,40.0000,0
-15149.1,-84945.1,36.3631,-2.3827,40.0000,0
-15151.2,-84947.5,36.2794,-2.383,40.0000,0
-15153.3,-84949.9,36.2328,-2.38344,40.0000,0
-15155.3,-84952.3,36.1499,-2.38362,40.0000,0
-15157.4,-84954.7,36.069,-2.38115,40.0000,0
-15159.4,-84957,36.0134,-2.3806,40.0000,0
-15161.4,-84959.4,35.9176,-2.37934,40.0000,0
-15163.4,-84961.7,35.8621,-2.37928,40.0000,0
-15165.4,-84964,35.769,-2.37654,40.0000,0
